,tweet_id,created_datetime,content,author_id,place_id,location,longitude,latitude,county,label,sentiment
15,1.46E+18,11/21/21,WE STORMED THEIR FIELD AGAIN!!! PALO ALTO IS BEAR TERRITORY BABY!!!,87119583,71d33f776fe41dfb,"Martinez, CA",-122.15372,37.952705,CONTRA COSTA,1,anger
47,1.48E+18,1/4/22,Ferocious Ollie Bear in his lair. Look at those needle claws. https://t.co/mGQHJLnvah,217625660,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,1,neutral
97,1.52E+18,4/22/22,"Beautiful morning!  Sharing trail breaking with a bear on the TRT #aprilsnow #bcnordic #aprilpowder @ Tahoe City, California https://t.co/Z5wLNOIAlA",137552668,00c517054d026dbb,"Sunnyside, CA",-120.14027,39.17159,PLACER,1,joy
98,1.52E+18,4/23/22,be careful if she has cubs. you have to keep looking for a daddy bear. to have fun with. lol https://t.co/BL7V5VgssO,1.12E+18,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1,neutral
137,1.91E+17,4/13/12,Vermont Governor Chased By Bears http://t.co/7OTaDSRt &lt;--- la cresenta bear strikes again,20885105,59612bd882018c51,"Santa Monica, CA",-118.47635,34.02795,LOS ANGELES,1,neutral
254,1.58E+18,10/16/22,"@energysmartwv Saw a big ol bear here in the Sierras. Separately, went for a run and kicked up some barb wire under the pine duff and tore my leg up. Working to get the debris out now https://t.co/4OPWYYjZhv",31148690,0006e8873ae77584,"Round Hill Village, NV",-119.9882,38.961586,EL DORADO,1,fear
255,1.58E+18,10/16/22,"@Ormeghan No, thankfully. The scratches came from barb wire that I kicked up going for a trail run shortly after seeing the bear several miles from the bear.",31148690,0006e8873ae77584,"Round Hill Village, NV",-119.9882,38.961586,EL DORADO,1,neutral
256,1.58E+18,10/17/22,"Pulled up my pants and ran. The bear made this woofing sound, spun around and ran the opposite direction of me - I scared him too.

I woke everyone up, and they had a good laugh at my expense.",6450742,5a110d312052166f,"San Francisco, CA",-122.47957,37.766644,SAN FRANCISCO,1,fear
261,1.59E+18,10/30/22,Woke up to find the door of our car parked outside open. Looked inside and nothing was damaged or taken: just some dirt paw prints. Seems like a bear was in the trick or treating mood last night,211608222,0056a5ad3ac63b03,"South Lake Tahoe, CA",-119.98818,38.871613,EL DORADO,1,neutral
265,1.60E+18,12/1/22,the more i think about the shit i used to do with my friends in alaska i wonder how we never got attacked by a bear staying out all night during the summer just wandering around like we were invincible,2981189160,0706a21788cadb8d,"Norwalk, CA",-118.042755,33.90414,ORANGE,1,anger
276,1.86E+17,3/29/12,Black Bear Stops at La Crescenta Resident's Door http://t.co/S4kFXipK via http://t.co/Bt7MKv6k,17151483,ee6eb0b2e3b14f8a,"South Antelope Valley, CA",-118.2352,34.280083,LOS ANGELES,1,neutral
277,1.87E+17,4/2/12,Black Bear Stops at La Crescenta Resident's Door http://t.co/NPvdKAin,17151835,b0b79caecef59fb5,"Burbank, CA",-118.3044,34.19948,LOS ANGELES,1,neutral
310,2.21E+17,7/4/12,@daisy ha. I think that house was next to our house two seasons ago when we had the famous bear break-in-plus-dump-on-carpet incident.,14589956,62fb48acdf6bd915,"Noe Valley, San Francisco",-122.42311,37.753086,SAN FRANCISCO,1,neutral
311,2.21E+17,7/6/12,@mikegomez345 *Bear starts running away,46851883,0c2e6999105f8070,"Anaheim, CA",-117.82906,33.81007,ORANGE,1,neutral
315,2.23E+17,7/12/12,Video: Drowsy Duarte Bear Wakes Up After Being Tranquilized - http://t.co/hie7z3qm #Duarte #California,87321283,ddf8317a51899bd8,"Duarte, CA",-117.9511,34.141678,LOS ANGELES,1,fear
321,2.29E+17,7/29/12,This bear was about 7 feet from us at most !! #scaryshit #smokeythebear  @ Mammoth Estates http://t.co/O32OgaIC,66888204,59aa59a4f640381b,"Mammoth Lakes, CA",-118.988396,37.648144,MONO,1,fear
386,4.06E+17,11/28/13,@Greenpeace Whats the matter with that Polar Bear? Sad Sad Sad looks like he’s lost he’s back legs,1293806209,c73eb56b7695b30f,"Laguna Woods, CA",-117.72629,33.62764,ORANGE,1,sadness
387,4.07E+17,11/29/13,Shout out to big bear cause they finna get they ass whop tonight,875838152,5b7c6382b4b4f9ee,"Rubidoux, CA",-117.39993,34.00589,SAN BERNARDINO,1,fear
388,4.07E+17,12/2/13,"i saw a polar bear, a hippo, a kangaroo, a koala, elephants, and monkeys

life is good",1648074708,a592bd6ceb1319f7,"San Diego, CA",-117.13816,32.821033,SAN DIEGO,1,joy
389,4.08E+17,12/3/13,Polar bears wait very patiently for Stamm's. @ Polar Bear Plunge http://t.co/DwmkPoHAWM,68505859,a592bd6ceb1319f7,"San Diego, CA",-117.1546,32.734585,SAN DIEGO,1,neutral
390,4.08E+17,12/4/13,@Laj93 a bear? Dumb mascot if you ask me don’t make sense if their kings not the bears,380089890,c8448d3a8975a816,"Moreno Valley, CA",-117.17823,33.885963,RIVERSIDE,1,sadness
391,4.09E+17,12/7/13,FIRST FUCKIN BEAR ON MY FIRST FUCKIN NIGHT,63771186,59aa59a4f640381b,"Mammoth Lakes, CA",-118.97617,37.64455,MONO,1,anger
392,4.10E+17,12/8/13,@hatcher97 fuck ya kill a bear 🐻🐨,281713841,daa5fcec75a430ae,"Porterville, CA",-119.02593,36.06281,TULARE,1,anger
393,4.12E+17,12/16/13,I killed a bear with my bare hands and used it as a winter coat. I'm so hardcore... http://t.co/ugUwJQPwGf,69030611,2b6ff8c22edd9576,"SoMa, San Francisco",-122.40348,37.78458,SAN FRANCISCO,1,joy
394,4.14E+17,12/20/13,@camryn_berra I want that bear 😫,560128636,d374fb61a20fb74f,"Nevada, USA",-118.99989,36.046757,TULARE,1,neutral
395,4.14E+17,12/20/13,This bear is so cute and soft😍😘❤🙏💕,996465062,3b77caf94bfc81fe,"Los Angeles, CA",-118.20624,34.131485,LOS ANGELES,1,joy
396,4.17E+17,12/29/13,So much for a beautiful Sunday morning felt the need to put in some work.... OMG bear crawl up a steep… http://t.co/m8cUnGm0OD,466608621,50df1c2f85d2654d,"Vacaville, CA",-122.015015,38.337044,SOLANO,1,joy
398,4.21E+17,1/8/14,"@hxcwanker it's sending out its mating call, you should hide the bear tonight",1638321708,0fc6568d145d84ac,"Lakewood, CA",-118.121666,33.85033,LOS ANGELES,1,neutral
399,4.22E+17,1/11/14,This polar bear bout to fuck this beluga up,18040014,3b77caf94bfc81fe,"Los Angeles, CA",-118.306335,34.011227,LOS ANGELES,1,disgust
400,4.37E+17,2/23/14,@Katie_Cleary Look out...BEAR!,49916334,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,1,surprise
401,4.38E+17,2/24/14,“@WOWPicsOfLife: Baby polar bear playing in the snow http://t.co/QEZO61ERLw” can I have you 😍😍😍😍,1025949894,3b77caf94bfc81fe,"Los Angeles, CA",-118.453835,34.166553,LOS ANGELES,1,joy
402,4.39E+17,2/27/14,I once fought a bear with nothing but by glasses and my bare hands #EricSogard #FaceofMLB,307180266,e41805d7248dbf1e,"Modesto, CA",-121.022194,37.64233,STANISLAUS,1,fear
403,4.46E+17,3/17/14,Just saw a dude with two black eyes. I suspect his dad was a Panda Bear.,126042564,82fa07c56ac07ed2,"Camp Pendleton North, CA",-117.31087,33.301594,SAN DIEGO,1,neutral
404,4.56E+17,4/15/14,@DomsWildThings I think a Polar Bear stalked me home from the late late show. What do I do :O,1132539985,4db990e393c2e28b,"La Mirada, CA",-118.01427,33.907516,ORANGE,1,surprise
405,4.58E+17,4/21/14,A huge black bear strolled 25 feet from where my friend &amp; I were talking Easter Sunday.  Drifted by us &amp; went up the wooded hill #naturelove,437848308,4bd282edff047215,"Truckee, CA",-120.14488,39.336903,PLACER,1,joy
406,4.90E+17,7/18/14,@parthraaj @esnbill @DeWet5 @puscatelle @McristyH21 that is one big bear...beautiful!!!,2332154462,7a3fb038dd5b70e7,"Marina, CA",-121.784676,36.679665,MONTEREY,1,joy
407,4.93E+17,7/26/14,Dolce is fucking the shit out of that bear omfg,167920578,3b77caf94bfc81fe,"Los Angeles, CA",-118.46078,34.29414,LOS ANGELES,1,anger
408,4.93E+17,7/27/14,@JancarlosCruz_ un wild niguh grizzli bear😊👌🐻,147458603,75161a014946f779,"Madera Acres, CA",-120.07224,37.023163,MADERA,1,joy
409,4.97E+17,8/7/14,Seeing j.bear &gt;&gt;&lt;&gt;&lt;&gt;&lt; 😩😌🐻,53572605,5a2b46b58ffff818,"Quail Valley, CA",-117.24205,33.70644,RIVERSIDE,1,joy
410,4.99E+16,3/21/11,#100factsaboutme I once won a fist fight with an adult brown bear,15643797,,,-117.158264,32.8094,SAN DIEGO,1,anger
411,5.02E+17,8/20/14,100 yard bear crawl &amp; sprints? Killed it. #ArmyStrong,28529499,a592bd6ceb1319f7,"San Diego, CA",-117.10973,32.801037,SAN DIEGO,1,anger
470,1.00E+18,5/26/18,LOOK AT BEAR!! https://t.co/AAmb61d26u,15104219,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1,anger
471,1.00E+18,6/1/18,@TheFriddle @GoldenKnights What a cute golden bear!,3153745334,1f6b47c3f3352385,"Encinitas, CA",-117.20689,33.07444,SAN DIEGO,1,joy
473,1.01E+18,6/17/18,Mama bear and her… https://t.co/TOAaBLqw7D,23902090,a2c84129f9dcf69f,"San Marcos, CA",-117.17028,33.141945,SAN DIEGO,1,neutral
475,1.01E+18,7/4/18,@ManuelVzg The Bear?,2455443505,9b381228ebd9a499,"Chico, CA",-121.85654,39.757458,BUTTE,1,neutral
476,1.02E+18,7/31/18,"@MarybethMkprudz @HazicleShipper @nthomas1231 @TomaselloNat @eric @Eric_Mabius Oh I heard it. Scariest thing I've ever seen or heard. I'm pretty tough, survived a shark, eel,
bear &amp; skunk encounter (on different days) fortunately but what Eric went through took real bravery.",9.82E+17,50df1c2f85d2654d,"Vacaville, CA",-121.93749,38.40626,SOLANO,1,fear
478,1.04E+18,9/10/18,@LanceBriggs And a Bear !!!!!,91500479,6f49c528bb0c1a33,"Galt, CA",-121.24663,38.235435,SAN JOAQUIN,1,joy
