latitude,longitude,date,common_name,place_guess,year,month,dayofweek
36.56076,-118.7676,2006-06-27,American Black Bear,Sequoia National Park,2006,6,1
37.7706,-119.51077,2007-09-07,California Black Bear,Yosemite National Park,2007,9,4
37.7706,-119.51077,2009-06-14,American Black Bear,Yosemite National Park,2009,6,6
37.66534,-119.72488,2007-09-22,American Black Bear,"Yosemite Natl. Park, CA",2007,9,5
39.43248,-122.97443,2011-08-12,American Black Bear,"Lake Pillsbury, CA, US",2011,8,4
41.73226,-124.07656,2007-04-04,American Black Bear,Mill Creek Acquisition,2007,4,2
38.57647,-122.71056,2011-11-08,American Black Bear,Goodman Homestead,2011,11,1
36.5967,-118.71633,2003-06-14,American Black Bear,Sequoia National Park,2003,6,5
37.73264,-119.56068,2009-04-30,American Black Bear,"Yosemite National Park, California, USA",2009,4,3
37.9804,-119.79161,2009-05-16,American Black Bear,"Yosemite National Park, California, USA",2009,5,5
37.87168,-119.64827,2011-08-06,American Black Bear,Yosemite national park,2011,8,5
39.43238,-120.24067,2012-05-05,American Black Bear,Sagehen Creek Field Station,2012,5,5
39.42656,-120.31273,2012-08-01,American Black Bear,Sagehen Creek Field Station,2012,8,2
36.55422,-118.75303,2012-08-06,American Black Bear,"Sequoia National Park, California, USA",2012,8,0
36.55527,-118.74755,2005-06-24,American Black Bear,Crescent Meadow,2005,6,4
38.88717,-121.06017,2012-08-18,American Black Bear,Auburn State Recreation Area,2012,8,5
38.7657,-120.72428,2012-08-04,American Black Bear,"CAMINO, CA",2012,8,5
36.4669,-118.64987,2012-08-31,American Black Bear,"Sequoia NP, CA",2012,8,4
39.25331,-123.7467,2012-09-22,American Black Bear,"Pygmy Forest, Mendocino County, US-CA, US",2012,9,5
37.7577,-119.80122,2010-06-17,American Black Bear,"Yosemite National Park, CA",2010,6,3
34.19194,-118.1058,2012-10-12,American Black Bear,Eaton Canyon Park Area,2012,10,4
34.18362,-118.09616,2012-10-26,American Black Bear,Eaton Canyon Park,2012,10,4
37.74934,-119.59043,2012-12-09,American Black Bear,Yosemite National Park,2012,12,6
38.52128,-122.71571,2012-09-27,American Black Bear,"Sonoma County, US-CA, US",2012,9,3
39.04159,-120.55298,2012-08-15,American Black Bear,"El Dorado National Forest, CA",2012,8,2
36.48637,-118.56575,2009-05-15,American Black Bear,Sequoia,2009,5,4
36.904,-118.59505,2005-08-03,American Black Bear,"Glacier Lakes, Kings Canyon NP CA",2005,8,2
36.83423,-118.57827,2005-08-06,American Black Bear,Kings Canyon NP CA,2005,8,5
39.94403,-120.9463,2013-05-21,American Black Bear,"Plumas County, US-CA, US",2013,5,1
37.00348,-118.94322,2013-06-03,American Black Bear,Sierra National Forest CA,2013,6,0
40.13048,-123.82166,2013-04-27,American Black Bear,"Mouth of Leggett Creek, Redway, CA",2013,4,5
40.13262,-123.82764,2013-05-03,American Black Bear,"Near Redway, CA",2013,5,4
40.13329,-123.82965,2013-03-15,American Black Bear,"Near Redway, CA",2013,3,4
38.59522,-119.67602,2006-07-07,American Black Bear,Wolf Creek,2006,7,4
39.43096,-120.24314,2013-06-22,American Black Bear,sagehen creek fieldstation,2013,6,5
40.12865,-123.82634,2013-04-13,American Black Bear,"YMCA Camp Ravencliff, Redway, CA",2013,4,5
40.13354,-123.82964,2013-04-17,American Black Bear,"Near Redway, CA",2013,4,2
41.2978,-124.03768,2013-03-02,American Black Bear,Redwood National Park,2013,3,5
39.43051,-120.24254,2013-04-28,American Black Bear,Sagehen Creek Field Station,2013,4,6
37.72779,-119.57637,2012-04-14,American Black Bear,Yosemite Glacier Point,2012,4,5
37.44927,-119.64919,2013-06-26,American Black Bear,"Westfall, Sierra National Forest, CA",2013,6,2
38.87983,-119.97983,2013-07-14,American Black Bear,"Lake Tahoe Basin Management Unit, CA, US",2013,7,6
36.57,-118.76,2010-08-08,American Black Bear,"Kings Canyon/sequoia, Sequoia National Park, Sequoia and Kings Canyon National Parks, Tulare County, US-CA, US",2010,8,6
34.67947,-119.21623,2003-11-15,American Black Bear,"Ventura County, US-CA, US",2003,11,5
38.61143,-119.6973,2013-07-14,American Black Bear,"Alpine County, Toiyabe National Forest, US-CA, US",2013,7,6
38.61178,-119.85833,2013-07-18,American Black Bear,PCT near Raymond Lake,2013,7,3
40.11783,-123.81824,2013-03-16,American Black Bear,"Redway, CA",2013,3,5
34.0531,-116.56631,2013-08-01,American Black Bear,"Big Morongo Regional Park, Morongo Valley, California, US",2013,8,3
40.13522,-123.8302,2013-07-14,American Black Bear,"Near Redway, CA",2013,7,6
40.13509,-123.82987,2013-07-26,American Black Bear,"Near Redway, CA",2013,7,4
37.70605,-119.58922,2013-08-04,American Black Bear,"Pothole Meadows, Yosemite National Park, Mariposa, California, United States",2013,8,6
40.13334,-123.82981,2005-04-06,American Black Bear,"Near Redway, CA",2005,4,2
40.13346,-123.82871,2013-08-10,American Black Bear,"Near Redway, CA",2013,8,5
40.12846,-123.83122,2013-04-11,American Black Bear,"Near Redway, CA",2013,4,3
36.7893,-118.67284,2012-03-12,American Black Bear,Sequoia National Forrest,2012,3,0
37.7874,-119.2616,1992-08-17,American Black Bear,"Yosemite National Park, California, United States",1992,8,0
41.29348,-123.66696,2013-08-25,American Black Bear,"Six Rivers National Forest, Slate Creek",2013,8,6
41.25052,-123.64381,2013-08-24,American Black Bear,"Six Rivers National Forest, Slate Creek",2013,8,5
41.31263,-123.67066,2013-08-24,American Black Bear,"Six Rivers National Forest, Twin Lakes",2013,8,5
40.24092,-122.15664,2013-08-25,California Black Bear,"Hwy 36, Tehema County, CA",2013,8,6
39.44071,-122.93691,2013-09-01,American Black Bear,"Lake Pillsbury, Mendocino National Forest, CA",2013,9,6
40.13169,-123.82375,2013-08-29,American Black Bear,"Redway, CA",2013,8,3
38.61011,-119.887,2013-09-09,American Black Bear,"Alpine Co, CA",2013,9,0
37.06604,-119.00038,2013-09-07,American Black Bear,"Sierra National Forest, CA",2013,9,5
37.17912,-118.89994,2013-09-09,American Black Bear,"John Muir Wilderness, Sierra NF CA",2013,9,0
40.13109,-123.82287,2013-09-15,American Black Bear,"Redway, CA",2013,9,6
40.13496,-123.82658,2013-09-15,American Black Bear,"Redway, CA",2013,9,6
40.13237,-123.82899,2013-09-13,American Black Bear,"Redway, CA",2013,9,4
37.18416,-118.90833,2013-09-09,American Black Bear,"John Muir Wilderness, Sierra NF CA",2013,9,0
41.22347,-123.96005,2001-07-03,American Black Bear,"Bald Hills Road, Redwood National Park, CA",2001,7,1
40.12993,-123.83723,2004-09-10,American Black Bear,"Redway, CA",2004,9,4
40.1341,-123.83013,2012-04-30,American Black Bear,"Redway, CA",2012,4,0
40.12995,-123.83568,2008-07-25,American Black Bear,"Redway, CA",2008,7,4
40.13333,-123.82986,2009-10-28,American Black Bear,"Redway, CA",2009,10,2
34.1684,-116.81524,2012-10-04,California Black Bear,"Santa Ana River, California",2012,10,3
39.43167,-120.21472,2013-09-21,American Black Bear,"Nevada, Tahoe National Forest, California, United States",2013,9,5
36.25756,-118.2486,2013-09-21,American Black Bear,"Sequoia National Park, Tulare Co. CA",2013,9,5
40.13131,-123.8225,2013-09-25,American Black Bear,"Redway, CA",2013,9,2
39.33501,-123.08661,2013-09-26,California Black Bear,"95469, Potter Valley, CA, US",2013,9,3
