date,datatype,station,value
2018-01-01,PRCP,GHCND:US1CAAL0012,0.0
2018-01-01,PRCP,GHCND:US1CALA0046,0.0
2018-01-01,PRCP,GHCND:US1CAMP0008,0.0
2018-01-01,PRCP,GHCND:US1CASC0057,0.0
2018-01-01,PRCP,GHCND:US1CASD0053,0.0
2018-01-01,TMAX,GHCND:USR0000CBAR,65.0
2018-01-01,TMIN,GHCND:USR0000CBAR,46.0
2018-01-01,TMAX,GHCND:USR0000CCRE,56.0
2018-01-01,TMIN,GHCND:USR0000CCRE,23.0
2018-01-01,TMAX,GHCND:USR0000CDGR,55.0
2018-01-01,TMIN,GHCND:USR0000CDGR,29.0
2018-01-01,TMAX,GHCND:USR0000CHAY,63.0
2018-01-01,TMIN,GHCND:USR0000CHAY,30.0
2018-01-01,TMAX,GHCND:USR0000CHNM,60.0
2018-01-01,TMIN,GHCND:USR0000CHNM,32.0
2018-01-01,TMAX,GHCND:USR0000CSNL,65.0
2018-01-01,TMIN,GHCND:USR0000CSNL,37.0
2018-01-01,PRCP,GHCND:USS0019L39S,0.0
2018-01-01,TMAX,GHCND:USS0019L39S,55.0
2018-01-01,TMIN,GHCND:USS0019L39S,30.0
2018-01-02,PRCP,GHCND:US1CAAL0012,0.0
2018-01-02,PRCP,GHCND:US1CALA0046,0.0
2018-01-02,PRCP,GHCND:US1CAMP0008,0.0
2018-01-02,PRCP,GHCND:US1CASC0057,0.0
2018-01-02,PRCP,GHCND:US1CASD0053,0.0
2018-01-02,PRCP,GHCND:USC00041697,0.0
2018-01-02,TMAX,GHCND:USC00041697,63.0
2018-01-02,TMIN,GHCND:USC00041697,41.0
2018-01-02,TMAX,GHCND:USR0000CBAR,58.0
2018-01-02,TMIN,GHCND:USR0000CBAR,53.0
2018-01-02,TMAX,GHCND:USR0000CCRE,49.0
2018-01-02,TMIN,GHCND:USR0000CCRE,22.0
2018-01-02,TMAX,GHCND:USR0000CDGR,52.0
2018-01-02,TMIN,GHCND:USR0000CDGR,32.0
2018-01-02,TMAX,GHCND:USR0000CHAY,55.0
2018-01-02,TMIN,GHCND:USR0000CHAY,27.0
2018-01-02,TMAX,GHCND:USR0000CHNM,53.0
2018-01-02,TMIN,GHCND:USR0000CHNM,31.0
2018-01-02,TMAX,GHCND:USR0000CSNL,61.0
2018-01-02,TMIN,GHCND:USR0000CSNL,40.0
2018-01-02,PRCP,GHCND:USS0019L39S,0.0
2018-01-02,TMAX,GHCND:USS0019L39S,47.0
2018-01-02,TMIN,GHCND:USS0019L39S,29.0
2018-01-03,PRCP,GHCND:US1CAAL0012,0.0
2018-01-03,PRCP,GHCND:US1CALA0046,0.0
2018-01-03,PRCP,GHCND:US1CAMP0008,0.0
2018-01-03,PRCP,GHCND:US1CASC0057,0.0
2018-01-03,PRCP,GHCND:US1CASD0053,0.0
2018-01-03,PRCP,GHCND:USC00041697,0.0
2018-01-03,TMAX,GHCND:USC00041697,61.0
2018-01-03,TMIN,GHCND:USC00041697,42.0
2018-01-03,TMAX,GHCND:USR0000CBAR,56.0
2018-01-03,TMIN,GHCND:USR0000CBAR,50.0
2018-01-03,TMAX,GHCND:USR0000CCRE,56.0
2018-01-03,TMIN,GHCND:USR0000CCRE,23.0
2018-01-03,TMAX,GHCND:USR0000CDGR,54.0
2018-01-03,TMIN,GHCND:USR0000CDGR,38.0
2018-01-03,TMAX,GHCND:USR0000CHAY,54.0
2018-01-03,TMIN,GHCND:USR0000CHAY,35.0
2018-01-03,TMAX,GHCND:USR0000CHNM,53.0
2018-01-03,TMIN,GHCND:USR0000CHNM,29.0
2018-01-03,TMAX,GHCND:USR0000CSNL,56.0
2018-01-03,TMIN,GHCND:USR0000CSNL,39.0
2018-01-03,PRCP,GHCND:USS0019L39S,0.0
2018-01-03,TMAX,GHCND:USS0019L39S,53.0
2018-01-03,TMIN,GHCND:USS0019L39S,31.0
2018-01-04,PRCP,GHCND:US1CAAL0012,0.26
2018-01-04,PRCP,GHCND:US1CALA0046,0.0
